Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
37,Yes,old is somethinig that has existed a long time and may be damaged or unusable in some way,No,"nothing here shows anything broken, aged, or something that looks like it has existed for a long time, therefore not old.",Yes,"old is something that has been around a long time. one can detect something old by the existence of certain fasions, fads etc.",No,everything here looks clean and not damaged so things are new in this picture,Yes,"old is something that is replaced with the same type of thing, only more advanced",Agree,i explained all concepts of old,Agree,i explained all concepts of old,don't think so,,
38,Yes,"This is a picture of what looks like a metal door with a clock. The paint on the door is peeling away and the wood looks as if it has been burned. The clock has hands that look rather Victorian. The clock is within a metal frame, unlike modern clocks that are in plastic or wooden frames.",Yes,There is a boat in this photo. The boat is not on the water. The boat is wooden. The wood has begun to rot and is turning a different color. The boat is starting to deteriorate.,Yes,"Most pictures are taken in color within the modern day. This photo is a black and white photo. The ties that the men are wearing do not go to the waistline. In the modern age, we always line the tip of a tie with the pants waistline.",No,This picture is a bedroom that looks modern based on the bed and flooring. The bed is a platform style bed which is modern. The floor has tile and carpet. There is no discoloration that can be seen with the flooring or within the walls. The chair at the desk looks modern and is not wooden like most old chairs.,Yes,"There are flip-phones in the photo. Also, there are phones known as Blackberry. These phones are not seen much anymore. Most phones are now smart phones. There are two smartphones in the photo, but they look like older iPhones. The old iPhones were thicker than the new iPhones.",Agree,"I have given very distinct features that would allow the computer to judge between new and old. Some photos are harder to allow the computer to detect if a photo is old or not, but it should be able to do so by looking for specific things within photos. I have given the computer a variety of things that would determine whether a photo was old or not.",Agree,"I feel that I have not completely taught the computer to identify any image because it is impossible with so few photos. Every photo is unique and there are certain things within each photo. I believe that I have taught the computer to be able to identify a good portion of photos, but it is not thorough enough.","I did not teach the computer the concept of noticing flaws within materials as much as I should have. I think the computer would be better able to judge on oldness based on specific criteria such as torn material, discolored material, etc.",,
39,Yes,"In this photo, the paint on the door is chipping. This usually only happens after paint has been on something for a very long time, so it feels like this door is old. The clock is also broken, which gives and impression of being old.",Yes,"The boat in this picture looks like it's been around a while. There are lots of holes and rust, which happen over time as an object ages. The fact that you couldn't bring this out to water makes it feel even older,since at one point, it was new and able to do things like carry people on a lake. The paint is also chipping and older.",Yes,"Black and white photos almost always seem old,since color photos were only available after a certain point in history. Additionally, clothing changes over time,and the clothing that these guys are wearing looks more dated. Most men don't dress up so nicely today, especially in suits. The material of the clothes also looks nicer and different than what most men wear today.",No,"This bedroom has a lot of modern fixtures. Some of the stuff looks outdated by visual cue, but it is a complete bedroom. It has a nice matress, light fixtures, what looks like a vacuum, and other items that look unused and mostly modern. The floor is clean, as well.",Yes,"So, technology always changes. Especially now, we're moving really quickly away from old technology onto newer and better things. This picture contains a lot of cell phones that you can tell are old by looking at them. On the far left, there is a new phone. You know this,because it has a touch screen. Older phones are flip phones or have inferior technology.",Agree,There were many different ways to describe the term old,Agree,"I think the computer has a general idea of aging. I'm not sure if it truly knows what is old, but I think I gave it an idea.",Not that I can think of. Maybe older people or animals,,
40,Yes,"these items have a lot of wear and tear and looked substantially aged, which again is a key feature of being old. paint is flaking away, there are cracks and chips. there is rust. it generally looks in disrepair like it has existed a significant amount of time or a significant amount of time has passed.",Yes,"the boat is very far away from being considered new. its considerably aged and considerably worn out. these are the main characteristics an old item has. predominantly old items have been around for a long time, relative to what similar items in their class have. this boat is very old both in absolute terms and relative to other boats in appearance.",Yes,the photo is from a long while back in the past. you can tell because of the tone and color as well as the style of clothing. its from a long time ago. the black and white color scheme also reveals that it is an old photo.,No,"nothing here appears to be old or that old. everything looks in good order and clean, not too worn. it could be new, although it probably isn't, however it doesn't look old. its not showing its age, therefore it doesn't look old.",Yes,several if not all of these phones are several years old and either obsolete or deprecated. these are considered old phones because a majority of people don't use them anymore and aren't available to be purchased from retail outlets because they are considered out of date with the current trends.,Neutral,I feel like there are subtleties that can be missed. I think a lot more would be done to fully explain. old can pertain to many many things,Disagree,"I think there would be problems for example in situations that pertain to style. the object in question might like new, like a well kept collectible car, but actually be very old. I think more would be done to explain the difference between something that looks old and something that is many years old.","differentiation between aged appearance and age in years and relative age. relative age would be the consideration of how old the object is relative to other objects for the same use. like the smartphone example. 3 years might not really be that long a time, but its an eternity when it comes to smartphones",,
41,Unsure,"The items are worn and weathered. They appear old by the condition they are in, which appears rusted.",Unsure,The boat can be identified as old due to the dilapidated condition. It is falling apart and on semi-dry land. It has peeling paint and worn wood.,Yes,It is a black and white image. The clothes are from another time.,No,"There is nothing in the image that relates to old, only varying decor, which is hard to classify as old or retro.",No,"This has some old technology showing old phones, but also newer phones. The age can be identified by the models and their design.",Disagree,The concept of old is hard to explain. Old can be relative and mimic other concepts such as condition affected by other means than time.,Disagree,Old covers a lot of territory and is difficult to explain accurately. Some things may appear old but are not old or vice versa.,Better describing what weathered and rusted and concept such as these are and how they can be identified.,,
42,Yes,"This is old because it is showing much wear. It has been aged by time. Time is what makes something old. The more time goes by, the older something is.",Yes,"This boat is old because it is in need of paint. The paint is peeling so that shows that it has been around for awhile. It is not new, so it is old because it has been around for a long time.",No,"None of these people are quite old enough to be considered old. They have no grey hair they are still active, they don't have many wrinkles. So they are not really old.",No,This is not old. Everything is modern and in good condition. The things are not showing wear and so they look new. Therefore they are not old.,Yes,"These products might be considered old because they are not knew. They have been used and been around for awhile, so they can be considered old. They show signs of wear and are not new at all.",Agree,Because I explained what makes something old. Showing wear and the passage of time.,Neutral,Old is too broad of a subject to know that.,Not that I can think of.,,
43,Yes,The image is old because the clock is broken,No,No the old ids not old.,Yes,The image is old and the event is old.,No,The image is not old because every things is new ..,No,The image is new because the phones.,Agree,Yes the future images similar,Agree,same things.,No additional information.,,
44,Yes,The items look sort of old. The paint is peeling on the door. The clock in front of it is broken and the typeface on the numbers is old-fashioned.,Unsure,"The boat looks abandoned and uncared for, but I'm not sure if it's definitely ""old."" I guess it could be old, but I'm not sure.",Yes,"The picture is itself old. The photo is in black and white and looks sort of grainy. The clothing is old-fashioned, maybe from the 40s or the 50s.",No,"Nothing appears to be old in the picture. Everything looks pretty new. There's nothing that screams ""old"" in this picture.",Yes,The pictures is cell phones from the present to the past. The left is the newer phones and then as you go right the phones get older.,Strongly Disagree,"I don't think it's easy to understand the concept of ""old."" ""Old"" can mean a great many things and the pictures shown don't cover everything.",Strongly Disagree,"There are concepts of old that weren't in the photo, like an old person.",I would have included old people in the photos.,,
45,Yes,"Yes, the door looks definitely old. Paint is falling apart and rust is everywhere. This looks so old You want to think time actually damaged it.",Yes,"On beautiful scenery we see a boat that is rusty and visibly ""touched"" by time. Wood looks rotten and paint fades away.",Yes,"Gentlemen on the picture are not THAT old, but the picture itself looks like an old one based on the quality, colors and the way people are dressed.",No,"I don't see anything ""old"" about the picture. Bed, room, everything looks kind of modern, and not old.",Yes,"We see plenty of old cell phones. Not sure, but it's possible they go from left to right being newest to the left and oldest to the right. That may represent a path from new to old.",Agree,I used clear and logical sentences.,Agree,I think it was easy to explain with simple words that problem to a machine.,"How to You teach a computer what does it mean to have an ""old soul""",,
46,Yes,"because there is peeling paint, rust and a clock that looks broken I find it to be old.",Yes,"the boat is not in the water or protected by the elements. The boat has peeling paint, rust, and dirt. It looks abandoned.",Yes,the picture is in black and white. The men are wearing clothes that were in style 60 years ago.,No,the bedroom has modern/new furniture and fixtures.,Yes,the cell phones look out of date. They are bulky with keypads on the face.Most new cell phones don't have those features.,Agree,"yes, I explained why different objects were old.",Agree,I gave the computer hints of what to look for eg. peeling paint.,no,,
47,Yes,This could be classified as old because it's a bit rusty and worn out. It looks very weathered.,Unsure,The painting looks a bit weathered but I can't really tell.,Yes,The image quality is a bit degraded. It looks to be an old photo.,No,Everything here looks very fresh and new. There are no signs of wear.,Yes,These phones are outdated. You can't tell without prior knowledge of new phones but these are in fact old.,Agree,I think I covered the aspect of being weathered and aged well enough.,Agree,I think it could look for signs of rust or brown tone.,I can't think of anything.,,
48,Yes,The clock and door have been beat up over time.,Yes,The boat looks like it's old,Yes,"Black and white, white people",No,It's a modern bedroom,No,They're modern mobiles,Neutral,It's somewhat subjective,Disagree,It's a human interpretation and understanding.,Culture,,
49,Unsure,"No. This concept does not necessarily represent old. Some of the surroundings in this image have been weather-beaten, it is impossible to determine whether or not it is 'old'",Unsure,"I'm not sure about whether this image represents old. This boat has been beached and looks to have sustained some damage, but damage doesn't necessarily mean it's old.",Yes,This image represents old. The clothes are from a different era in the past. Even the quality of the image is from an old(er) style camera.,No,Old is not represented in this picture. There is nothing that I can point to for clues to help you identify the concept of old.,Yes,Old is represented in this picture due to the progression of models of cellphones in this picture. The styles of the phones progress which represents age.,Disagree,Old' is an abstract concept that is difficult to translate from pictures and words alone.,Disagree,"I disagree because, once again, abstract concepts are difficult to translate with only words.",Nothing.,,
50,Yes,"I saw that there's lots of rusting/deterioration. This indicates it's old. Also, the clock face looks old.",Unsure,"First, I can't tell if it's a photo or painting. Also, I don't know anything about boats, so don't know if it's old or young.",Yes,"The photo is black and white and looks old. Also, the uniforms and clothing looks old. Like the short tie.",No,Everything in the room looks relatively new. Nothing looks especially old.,No,"The phones are mobile phones which is recent technology, not old technology. iPhone came out 10 years ago, which is not especially old.",Agree,I mostly provided details that would be helpful.,Agree,"Again, I think I provided mostly helpful details.",Nothing.,,
51,Yes,The reddish surface is painted. It looks rough in areas and it should look smooth and flat. The light gray areas are where the paint is completely off. The rough and chipped edges around this area tell me there used to be paint there. The many colored areas between gray and gold are aged and may even be rusted metal. If this is an artist's work the clock in the image would also make me think of the concept old and aging.,Yes,"The boat is on land. This is unusual. Boats should be in the water or on a trailer. The surface is rugged. The paint is not evenly applied- but probably was in its new state. The brown appears to be rust. When something is rough and brown and man made many times this can be rust. Rust is a sign of age. A sign of people no longer caring about their ""object"".",Yes,Its a black and white fuzzy photo. The men have very short hair. Their ties are shorter than modern ties. They have no side-burns. They are very well groomed. Like hair is bad.,No,"I see no signs of the concept ""old"". Everything that is one color is that way because it is not aged. It looks crisp and clean. The walls paint is not rough but smooth. The carpet is not frayed nor are the sheets. The lighting is soft. The wood floors and shiny. Reflecting light.",Yes,The physical buttons on some of these devices tell me they are old. Newer phones mostly only use touch screen. No physical buttons. The shape of these phones tell me they are old models. They are small. I can tell this because the flip phones were always the smallest like the reddish phone. So this means even the touch screen(black screen) phones on the far left are smaller older touch screens.,Strongly Agree,Because I explained things like rust. And flaking paint. Also describe the outdated cell phones.,Neutral,Im not sure about this. There are probably many other attributes that make things look old.,That things dont need to be falling apart to look old. Older models of anything go out of style. Cars. Crazy wallpaper from the 70's. Big hairdo's from the 50's and 60's. Bell bottoms from the 70's. etc.,,
52,Yes,The object in this image is considered old because of the rust and wear seen on the object.,Yes,The boat in this image is old and looks to be rusted and worn down. The boat is also located on grass which means that some time has passed where the water has receded leaving the boat on dry land.,Yes,Old is in this image. This picture is in black and white and it is kind of grainy. This is how pictures used to be taken which means that the image is old.,No,"This is a hotel that looks to be in very good condition. The decorations are somewhat modern, so the concept of old is not represented in this image.",Yes,The concept of old is in this image. There are a variety of cell phones in this image. A lot of them are out of date and not modern which means that they are old.,Neutral,The images were so varied that I'm not sure if I adequately explained the concept.,Neutral,I really don't know if the computer would be able to identify the concept from any image in the future.,"Since there are so many different ways that something could be old, it is hard to teach the concept.",,
53,Yes,The paint on the door is chipped. The clock is broken. There are scorch marks on the door. There is a hole in the door.,Yes,There is a boat in the image. The boat is on land. The boat is damaged. The paint is faded.,Yes,The photo is grainy. The photo is not colored. The people are wearing old clothing styles.,No,I first determined how clean the room looked. I looked to see if the furniture was damaged.,Yes,There are many phones in the pictures. They are in order from newest to oldest. There are previous models of phone on the right. There models were created years ago.,Disagree,I do not think there was enough time to breakdown other concepts I may have used in my descriptions. Human concepts need to be broken down in abstract variables that a machine could understand. A few sentences are not sufficient.,Disagree,"Some of the cues I used to describe how I made my decision could be misleading. For example, a black and white photo could have the concept ""new"".","""Old"" is relative. You would need to be able to teach the computer how to figure out the context of the picture.",,
54,Yes,The door in the background is old because the paint is peeling. It has been damaged a long time ago. You can tell the the damage is not new because of the rust.,Yes,The picture has an old decrepit boat in the photo. You can tell it is old because the paint has faded off and it is falling apart. The lake has also dried up and the boat is now out of place.,Yes,The photo has been taken decades ago. You can tell by the grainy style of the black and white photo. The clothing the men are wearing are also a time stamp of the photo. The high pants and short ties are typical of the 1950's or 60's.,No,This room is modern and everything looks new and fresh. The nightstands are an older style but are new in manufacturing. They are replications of an older style.,Yes,The cell phones are old by cell phone standards. In traditional meaning of the word they are not old in age just in technology. They have the qwerty keyboards or built into the phone instead of on the lcd screen.,Strongly Agree,I feel I was though in my description of what makes an item old.,Strongly Agree,I taught the computer the difference between what makes an item old or just a replication. I also mentioned the appearance of old in each photo.,I taught the computer about items that are not old but appear to be made to look old.,,
55,Yes,"The picture shows an old item because rust and damage is present, when things are in this state they are usually old because people don't use them anymore.",Yes,"There is an object present that would normally not be there, a boat on land. The boat hasn't been used for a long time and shows rust and paint fading, indicating it's an old boat.",Yes,"The photo is old because it's in black and white with an absence of colors, indicating it was taken before color photography was present, thus it's old in age.",No,The room is not old in the sense of age. It has modern looking furniture in the room with details that are not present in older rooms before the current age.,Yes,The picture has current technology shown but also old technology as evidenced by the age of the electronics. Old in this case means technology that is almost no longer used.,Strongly Agree,I went into detail why an item was old and why not.,Agree,I gave the computer pointers on why I decided an item was considered old when looking at specific things.,Explaining the concept age is important for the computer to recognize old.,,
56,Yes,You can tell it is very old because this type of picture looks from back in the hundreds.,Yes,The boat automatically looks pretty old.,Yes,The picture is black and white that makes it look old from back in the day.,No,This look like a really nice room that is up to date.,Yes,All the phones pictured in this photo are old phones from years ago that is not in style.,Strongly Agree,Showed them what in the picture made it look old.,Strongly Agree,Showed them what in the picture made it look new by what type of picture it was.,Describe how the stuff was old based upon the years.,,
57,Yes,"The concept old is apparent because of the rusty and damaged subject matter. Such as the door with the pain pealing off, The remains of a clock that used to work and the damaged to its casing that is of old style. The clock is damaged enough not to be working and the circle is also rusty too that surrounds the subject matter.",Yes,The concept of old in this picture is despicted by the boat that is old with its fading paint and that it is not on the water but seems abandoned and unused on the grass. The grass has grown around the boat indicted it has been a long time since the boat has been used. There is also rust on the boat.,Yes,This is an old photo because it is black and white and the subjects in the pictures are dressed in old a very old style. The photo is old because of the way the picture is not very clear. Pictures have come a long way from the old style in which they are clearer.,Unsure,I am unsure if this is an old concept. There are different things in the picture that suggest old but there are also things that make the room look new. The wooden doors look old style but that could be a bring back from the past. I am unsure.,Yes,The consept old is in this image because it shows many phones that are outdated. The phones all look used and from different years. The phones each change with the inventing of newer designs as despicted.,Strongly Agree,I did my best to described the subject matter and why they are considered old or not.,Strongly Agree,Because of my answers the computer should be able to identify subject matter that identifies the concept of old.,I did my best to described old.,,
58,Yes,There is rust on it. The object is worn and tattered. There is damage that has happened over time to this object. The object is not longer complete.,Yes,The boat is worn and tattered. It has been well used and the weather has taken a toll on it. The boat has rust and is aged.,Yes,This photograph is from an old style of photography. It is black and white and the style of clothing worn is from another time period. The haircuts are from an older era.,No,The concept is not old. The furnishings have a new and modern look to them. They are updated and sleek. There is moderinization with the lighting.,Yes,These devices are outdated and not new. They show an older technology and are not modern. They are antiquated and not useful.,Agree,I have given the computer guidelines of determining whether something is old or new. There are the signs of aging on a object and certain styles that determine age as well.,Agree,"I believe that the computer will be able to identify through signs of aging, wear and tear or damage whether something in an image is old.","There may be objects that are not very old in age, but merely outdated.",,
59,Yes,The knob looks rotten.,Unsure,i can't tell if it is old or not.,Yes,The photo itself looks old.,Yes,The bathroom is advanced.,No,Based on t he phones currently out right now. These phones are old.,Strongly Agree,i jUST THINK i DID A GOOD JOB.,Agree,I think I did a good job.,Emotions,,
60,Yes,The clock is damaged. The paint on the door is cracked and peeled off. Parts of it looks rusty.,Yes,"The boat in the photo represents the concept old. The exterior of the boat is damaged, rusty and dirty.",Yes,This is an old photograph. The photo is faded and grainy.,No,"Everything in this photo looks up to date and clean. Old things typically look aged, dirty or damaged.",Unsure,"This photo has both old and new items together, and I don't think it represents the concept old.",Agree,"I taught the computer what to look for in the photo (damage, rust, etc).",Agree,"I taught the computer what to look for in the photo (damage, rust, etc).",None,,
61,Yes,I see the weathered door. I see it has not been in good shape for a long time because the condition tells me it has been there for a long time. The clock is an old technology.,Yes,I can see the boat has been weathered. I see it is not near water. I can see it is in a very poor state. I know that thing deteriorate over time and break down.,Yes,I see the picture is in black and white. That is typical of older photo technology. I see the style of clothing is very dated and is not worn by almost any humans today.,No,The bed and other objects appear to be newer and well taken care of. I do not see any signs of deterioration. It appears good.,No,I used my experience and knowledge of current and past cell phone technology. I used my definition of old. I know these phones can still be used today and some people do.,Agree,Because I gave reasons for my answers that a computer may be able to use as guidlines for making its own determination.,Agree,I gave explanations of what happens to objects that have been sitting around or been exposed to natural elements over long periods of time.,Nothing that I can think of.,,
62,Yes,These items are clearly old as they have rusted. We know this is a reaction takes time to occur. This lets us know these items are not new or fresh and are therefore the opposite. We can also note that old things often have fallen into disrepair or will often look well used.,Yes,"This image depicts things that are old. Our first clue is that things do not look new or fresh, they instead appear to have been here for quite some time. You can see the disrepair on the boat which tells us this item has been here for some time. Time is the key to being old. If we can say this object has endured for some time, seen the passage of time, we know it is old.",Yes,"This image is old. We can first tell it is old by the color and look of the photo. It is old because it is from the distant past. This is not a new or fresh item. It is the opposite, old. Old will refer to the time something was created or its age in some cases.",No,"This image is not old. We are able to tell this because things appear to be very modern. We would describe this room and furnishings as new and fresh, this means they could not be the opposite; old. Note that old things rarely look very clean or bright.",Yes,Old is a relative concept which involves time. A thing is considered old when it is from the past. These items are old because they were released some time ago. Generally something old will be from years past. Something old is the opposite of new or fresh.,Strongly Agree,I feel I have thoroughly explained old and ways to identify it. I have given various steps to eliminate things that are not old and qualify things that are. I think the computer will have a great chance of identifying old things.,Strongly Agree,I feel I have stressed that old relates to the passage of time however we may discover that has occurred. I think I clearly expressed the concept that this something that is not completely qualitative and sometimes a bit of judgement is needed to determine yes or no answers.,"That the concept of old is relative. This is subject to opinion, not an absolute.",,
63,Unsure,"The distressed paint and broken suggest age, but this could have happened five minutes ago. This one is tricky to narrow down, because ""old"" is a very broad term.",Yes,"The distress on the boat suggests a fair amount of aging over a long period of time. Considering how far away from water the boat is, and how it is left out in the natural elements, this could be considered old.",Yes,"The image itself is old, though the people in the picture are not. The clothing and quality of the image suggest a long time ago.",Unsure,"The design suggests old, or more accurately, vintage, even though the decor and furnishings are clean and look new.",No,This is more of a timeline of cellular phones than any suggestion of old. In fact some of these previous designs are still being manufactured today as budget phones.,Disagree,"It is too broad a term to really narrow down with five pictures. There are a lot of ambiguities with the word, and no, real proper explanation without context.",Disagree,"I don't feel I can really explain ""old"" as a concept without having some kind of human understanding to get the context of what old could mean.",How old can mean many different things to many different people.,,
64,Yes,The paint is peeling and there is tarnish. The clock is also old and not modern,Yes,The boat in the picture is an older style. Loss of paint,Yes,It is a black and white picture which usually means it is old.,No,This is not an old style of a room. This is more modern and up to date.,Yes,These are cell phones that are older than the cell phones available today.,Disagree,It was hard to describe the concept of this particular picture,Disagree,I felt as I I did not describe the concept well,none,,
65,Yes,The photograph above could be considered relatively old. There is damage or wear shown to the clock device that could indicate that it has sat outside for a lengthy amount of time. Wear or pain deterioration is a long slow process so the kind of damage shown could take a considerable amount of years to occur.,Yes,When looking at the boat you can see that it is old. The way we know this is because of the condition of the pain and exterior of the boat. Fresh or new paint would look clean and bright whereas the image shows signs of deterioration in the paint and metal of the boat. This condition suggests that the boat has been in weather for a considerable amount of time and is probably relatively old and not new.,Yes,"The picture above can be considered old. Modern or recent photography is of a much higher quality than what is shown in the picture. You will notice that the picture has a grainy or fuzzy quality about it. This shows it was taken with older technology than of todays standards. Also you may notice the outfits shown, were ones that were commonly in fashion a relatively long time ago so it may indicate that this photograph is old. Also photos today are typically in color although not always. Color was not available for photos taken a long time ago.",No,The picture show is of something new or relatively young in age. Each object in the room looks to be in good condition as if it was just created or bought. No items in the room show deterioration or damage to suggest that there has been use for any length of time. Generally if there are no signs of use or damage then something is new and not old.,Yes,In the photo above there is older phone technology shown. We known that it is old as the models shown are much bulkier in design and have less of the modern features that phones have today. Also you may observe wear and damage on some of the items shown. Modern or new phones today are much smaller and thinner with larger screens used for interacting. The phones shown were created before that kind of technology existed so we can assume the phones are old.,Neutral,I tried to give examples as to why the different images may be old or not. It is difficult to explain the concept of age to a machine so the best I could come up with is explain length of time or whether the image showed a particular time period in which to gauge the images age. I also explained that deterioration of something is a slow process and can show that the object is old.,Agree,I pointed out clues in each image that can indicate that something is old or not. The condition of the items shown or the time period that something is possibly from can indicate its age. Older technology can be compared to today which can show that something is older.,"There were no images of people to show that they are old, and just because something is in bad condition does not necessarily make it old although it is often the case. I had a relatively hard time with this one due to the fact that machines do not experience time in the same sense we do so it may be very difficult for the machine to relate to the concept.",,
66,Yes,"I checked the image for people or objects. Then since there was an object, I checked for dirt, or rust, or peeling paint or broken things to determine if it was old.",Yes,"I first checked the image for people or objects. If I found an object, I checked to see if it was broken, or dirty or rusty, which would indicate that it was old.",Yes,"I checked to see if the image had people or objects in it. THen since the image itself was sepia toned, I could say the picture was old. The people in the image are adults and the men have receding hairlines, which also makes then older too.",No,"I looked at the picture to see if there were any people or animals that looked old, or furniture that looked dingy/well used or anything with rust.",Unsure,"I checked the image for people or objects. Then I checked to see if the objects were dirty, or broken or rusty. I also checked to see if the objects in the image were outdated or from some time ago.",Disagree,I feel its a difficult concept for a computer to grasp since there are many variables with objects or people.,Disagree,Its hard to tell if objects are old if they are well preserved antiques. Its hard to teach all the different variables that might make an object or person old.,"How to identify if an object might be an antique and what features to look for in people like receding hairlines, gray hair or wrinkles.",,
67,Yes,"As a human, I assume that an object that looks decayed,rotting, wrinkly, and otherwise used, is old. That is how this particular door and everything on it looks.",Yes,"As a human, I assume that an object that looks decayed,rotting, wrinkly, and otherwise used, is old.That is how this boat looks.",Yes,"As a human, I assume that an object that looks decayed,rotting, wrinkly, and otherwise used, is old.The men in the picture don't look old, but the photo quality is grainy as well as black and white so you know it is old.",No,"As a human, I assume that an object that looks decayed,rotting, wrinkly, and otherwise used, is old. This room does not look old in any way.",Yes,"As a human, I assume that these phones were used in the 2000s and are outdated. So basically, they are old.",Strongly Agree,I feel my description of what is old fit everything well.,Disagree,Most of the pictures were old looking with few that did not look old.,n/a,,
68,Yes,The doors paint is peeling and scrapped it is old,No,This painting is a new creation,Yes,this photo is in black and white therefore it is old,Yes,vintage decor could be considered old,Yes,Some of these things are outdated,Neutral,im not sure,Disagree,this was tough im not sure,i dont know,,
69,Yes,This would be considered old. You can see chipped paint which shows that something is old.,Yes,You can see chipped paint on this boat which would make it seem like something has sat for years or is old.,Yes,"Judging by the style of outfits in this photo and also the black and white color, you can tell this would be a photo take years ago, so it would be old.",No,"This picture contains no chipped paint or rusted items, everything is clean and bright, which would not be old.",Yes,"These phones are all outdated phones, so they would be considered old.",Disagree,It is hard to explain the concept of old.,Neutral,"I gave certain things to look for but I can not be sure they would help, explaining old is a bit hard.",no,,
70,Yes,"The image of the object is tattered, broken and rusty. There are parts that are broken and worn down because of old age and time.",Yes,The image of the boat shows wear and tear. It also has rust and shows usage. It is not new and had been battered over the years. Paint is missing.,Yes,This image demonstrates old by the black and white photograph that is slightly yellowed. The clothing is dated to an earlier time as well as the hairstyles.,No,The image has a new and moderinized look. Everything is new and not used. It is not worn or tattered.,Unsure,"Although outdated, this image displays a newer technology. They are not battered or broken. They are hard more likely older models.",Strongly Agree,I have clearly defined the differences between old and new. Used and unused.,Strongly Agree,"The computer has the definitions and guidelines of old: torn, tattered, rusty, broken.","There are some objects that are a middle ground - i.e. the cell phones. They are not broken, however they are older.",,
71,Yes,"There is no object in this photo which is modern in design. All the items look well used and perhaps a bit ""tired."" All these objects can be termed ""old.""",Yes,"Let it be a given that the earth and sky are ""old."" There is also a boat in the photo, and the boat is in bad repair and the paint on the boat is well worn. Everything in this photo can be termed ""old.""",Yes,"The photo above is in the colors of black and white. Sometimes such photos can be termed ""old."" ""And the photo is grainy--the black and white colors are not always consistent in texture: that is also a hint that the photo is ""old."" Also, the clothing fashion worn by the men appears very dated, which is another way to say ""old."" Although some of the men in this photo appear young, they are very old by now.",No,"All items in this photo look modern, so there is nothing in this photo which appears to be or can be called ""old.""",Unsure,"The cell phones in this photo may or may not be old. From the information presented, it is hard to tell if there are old cell phone in this photo or not, although it *does* appear that some of them may be.",Agree,"I did a good job--although i can think of improvements now--that would guide a robot to understand the concept of ""old."" I gave hints about how to determine ""old"": fashion, the graininess of photographs, lack of repair (the boat) and such like.",Agree,"I think so for the same reasons given in the above text box. I gave hints about how to determine ""old"": fashion, the graininess of photographs, lack of repair (the boat) and such like.","Can't think of anything. ""Old"" is hard to define for a robot (let alone people).",,
72,Yes,This image show old aging peeling paint. The paint must be old as it has lost it ability to stay on the door.,Yes,This image shows an old boat. Old can be identified as the boat appears worn and aged.,Yes,This image is a black and white color only photo. Old photos are commonly shown in only black and white color. Old can be identified as showing age or times of historical past.,No,This image does not contain any objects that show aged or wear. This photo only show new objects without wear.,Yes,This image shows aged and worn smartphones. The wear can be seen with visible scratches and scuffs on the phones.,Strongly Agree,"I identified the concept of ""old"" as a object that shows aging and wear.",Strongly Agree,"I identified the concept of ""old"" as a object that shows aging and wear. This information should be used for future images.","Other objects and identifying features, such as a aging human face or a rotten apple for example.",,
73,Yes,The material around the clock is old and worn out. It looks like it is damaged and the color has been worn out over the years.,Yes,The boat in the image is old and worn down. You can tell from the discoloration on the boat.,Yes,This is a black and white photo to indicate being an old image. Also the clothing the people are wearing are also old.,No,There isn't anything in this image that shows anything old. Everything in here looks new.,Yes,This shows images in order from youngest to oldest. The oldest phones are to the right. You can tell they are old because they are thicker in size.,Neutral,Some of the indicators to find something old are a bit difficult.,Agree,I gave examples of colors and objects being worn out over time. As well as what to look for in old photos.,To look more carefully at the colors.,,
74,Yes,Part f the door is rusted through. The clock is a stylle from the past. The paint is peeling and it looks bad and ragged.,Yes,The boat is ragged and rusty. It looks beaten and worn. Its nt shiny and its paint is gone. It looks like its rotting,Yes,The photo is black and white. The people pictured are wearing clothes from decades ago. The photo is grainy,No,Everything looks untouched. Its all clean and almost perfect. There is no sign of wear.,Yes,The models shown are antique. They are outdated and have technology that is no longer rellevant. The phones look used and worn down,Agree,I have given examples of why things were old and why some things werent,Agree,I gave examples of why things were old and why they werent,Im not sure it has enough info because old can be subjective. Im old to a 10 year old and young to someone who is 70,,
75,Yes,"The wood and metal in this picture is old. The wood is rotting, and the paint is peeling, as is typical with old wood. The metal is rusted.",Yes,"This is an old boat. It is rusted, weathered, and the paint is peeling and faded. These are all signs of old age in painted and metal objects, not just exclusive to boats.",Yes,"This is an old photograph. Very old photographs don't have color, and typically have grain and less sharper images as is seen here.",Unsure,"The decor in this room is in the style of a few decades ago, and if it was manufactured at that time it would be old, but there are no signs of wear or weathering. This could be new furniture made in a retro style.",Yes,"These are phones that are considered obsolete. Most of them have buttons, where most modern phones are touchscreen. The two phones to the left are somewhat modern. The phones are thick, where as most newer phones are thinner.",Disagree,I think the computer could only identify old metal objects because that was the only thing I could really be descriptive about. The examples were too inconsistent.,Strongly Disagree,"""Old"" is a very broad and vague concept. These examples barely thought on the concept.",Different types of weathering an wear and tear.,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
