Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,
41,Yes,People have plates of food in front of them on a table and are holding eating utensils. They are seated in a way that is best for eating.,Yes,An animal is in the picture licking/eating a salt lick. The animal's tongue can clearly be seen licking the food source.,Yes,People are seated at a table with plates of food in front of them. They are placing food into their mouths. from the plates. Their actions indicate eating. There are forks and spoons on the plates to eat with.,No,There is no one in the image near the plates eating. No one is near the food so eating is not taking place.,Unsure,There is a plate with cake on it and a fork but no one is in the picture to show that there is eating taking place. Eating requires a person to be in the picture in the process of eating. No person means no eating of food.,Neutral,"It is a concept that is very difficult to explain in an accurately descriptive way, but clues were given by having people and plates of food and eating utensils in the image.",Disagree,"It's a difficult concept to explain to a computer, likely requiring some better clues as to what eating involves.","The position and location of the image, the context of it.",
42,Yes,There is a table. People have food in front of them. They have forks and spoons. They are putting the food in their mouths.,No,"I wouldn't call this eating because it looks like the horse is drinking. It looks like liquid and you don't eat liquid, you drink it. There is no food there.",Yes,There are plates with food and people are using their hands and utensils to eat the food. One person even has the food right in her mouth.,No,"This would be cooking. This is getting food ready for people to eat it later. There is a chef, who prepares the food. Then the food will be put on the plates. From there it is taken to the people who will then eat it and be eating. But this is not eating, this is cooking.",No,"There is food but there is no one to eat the food that we can see. They might eat it later but they aren't eating it now. They might have eaten it in the past but they are not ""eating"" right now. There is no mouth chewing food.",Agree,I told them what it takes to be eating and what is not eating.,Agree,"I think that as long as they know that you have to have it in or on the way to your mouth, then they will get it.",none that I can think of,
43,Yes,Joint working dinner for different men.,Unsure,This horse eat to live.,Yes,Some Friends eat dinner together.,Yes,Work in the restaurant for life.,Unsure,Some Special Cake and the taste is great ..,Neutral,Maybe i did it well or not.,Neutral,Maybe i taught the computer to identify whether or not .,No additional information.,
44,Yes,The group of people appear to be sitting in a restaurant. They all have plates of food in front of them. Some have forks in their hands and are digging into the food using the forks.,Unsure,"The main subject of the picture is a horse. The horse appears to be licking something. I do not know what that thing is. If it is a kind of food for horses, then I guess the horse is eating.",Yes,The people in the picture are in a restaurant. They have food in front of them. The two people have food in their hands. One of the people is putting the food in their mouth.,No,"The picture is of a restaurant kitchen and there is food in the picture. However, the only person in the picture is the chef and she is not facing the camera. It does not look like she is eating and I doubt she is. Her hands are down and to her side, so nothing is near her mouth.",No,"The picture is of a slice of cake, but that is all. No one is in the picture, therefore there is no eating.",Disagree,Can the computer understand completely what I was saying? I sort of doubt it.,Strongly Disagree,"There is probably a ton of ground I didn't cover in terms of pictures containing the concept of eating. Even if the computer understood what I was saying, I don't think that it would help completely.","I can't think of anything specific, but there's probably a lot of stuff. One thing I can think of is that most of the pictures that contained eating were set in restaurants, and eating isn't limited to restaurants.",
45,Yes,"Again, a clear picture showing eating. Table with plenty of plates filled with food and men sitting and talking while eating and drinking. An event of some sort that include eating process.",Unsure,"I'm not sure what is that horse licking. If it's food, that that licking is a part of eating process, but it may be just cold, and the horse by licking it - cooling himself.",Yes,"Clear example of eating. We see a restaurant with many tables. People grabbing food from their plates and putting those in their mouths. More plates with food on them, ready to be eaten.",Unsure,"We can see kitchen and plates with something on it, but I'm not sure if that's after the eating and now they just cleaning everything, or the food is being served.",Yes,"There is not only a piece of pie that shows ""eating"" but also a plate and a fork that are used for eating - in this case, eating a pie.",Neutral,"There were clear ""eating"" symbols on some pictures, but some were unclear if it's showing what we were looking for.",Neutral,...sometimes the picture could mean more than one thing. It would be hard to explain that to a computer.,"How to explain phrase ""what's eating You"" ?",
46,Yes,there are plates with food on them. The men are holding forks to pick up the food. They are sitting at a table and there are glasses for drinks that accompany eating. Salt and pepper shakers for the food.,Unsure,I'm not sure if the horse is eating or if the ramp is used for food.,Yes,there are plates with food on a table with people sitting around it. There are utensils such as a knife and fork on the plates that people use to eat the food with.,Yes,this is a kitchen where people prepare food.There are plates for food to be placed on them. There are stoves the back that prepare food and a man in white which is a uniform used in the kitchen while preparing food.,Yes,there is a piece of cake on a plate with a fork next to it.,Agree,I believe I described the photos of eating well,Agree,I explained as best I can.,none,
47,Yes,This is a group of people eating food. There are at least two people visibly eating.,Yes,The horse is using it's tongue and mouth to lick and therefore eat.,Yes,There are two women eating at a restaurant.,No,"There is food being prepared, but nobody is actually eating anything. There isn't even any actual food in the picture.",No,"There is a piece of cake in the picture. This means there is food in the picture, but nobody is actually eating it.",Agree,"I might not have been descriptive enough, but there wasn't much to detail. I made the difference between food itself and actually eating it very clear though.",Neutral,I think it could differentiate from eating and food but i'm not sure if I was detailed enough for it to pick it out from another action.,Movement of mouth = food possibly? I'm not sure how to really teach it.,
48,Yes,A group of men gathered at a table to eat. They hold forks and have plates full of food. There are glasses to drink from and condiment shakers.,No,"Although a horse has its mouth on an object, it doesn't not appear to be eating. There is no food visible in the picture. There might be water.",Yes,Eating actively occurs on the right side of the image. There are plates full of food. There are utensils used for eating. The scene is set in a restaurant.,Yes,The person is a chef. The room is a kitchen. The chef is operating cooking tools in order to prepare food. There is a big pot in the center. There are ingredients stacked to the left.,Yes,There is a piece of cake that has been prepared for eating. It is on a plate and napkin. There is a fork on the plate as well.,Agree,I wrote explanations.,Disagree,It won't be perfect because it doesn't have human processes.,What eating really is.,
49,Yes,This is eating. Several people sit down at a table with plates full of food in front of them. They are using their hands and instruments to put the food into theirs mouths where they will chew it and then swallow it.,Unsure,"I am unsure as to what this picture represents. I cannot call this eating, even though the horse is licking an object with its tongue. Animals do eat, but this picture is not a good representation of eating.",Yes,This is eating. Two women sit a table with plates of food in front of them and one has a piece of that food in her mouth.,No,This is not eating. Eating involves someone actively putting food into their mouth and swallowing it.,No,"This is not eating. This is a photo of a slice of cake that I assume will be eaten by someone in the very immediate future, but as the cake stands now, it does not represent eating.",Agree,Eating is an act that can easily be described.,Agree,Eating is something that can clearly be illustrated so that the computer knows what to look for,Nothing,
50,Yes,I saw a photo of people eating and determined it was about eating. They are using food utensils and appear to be eating.,Unsure,Looks like the horse is licking a salt lick. I don't know if that is considered eating.,Yes,"I saw people at a table eating food and determined they were eating.
 
 (Not sure what kind of ""detail"" you want.)",Unsure,People will eat what's made in the kitchen. But I don't if that's actually eating. It's more like food preparation.,Unsure,"No one is eating the cake, so I don't know if it's actually eating. Someone will probably eat it, but is that the same?",Neutral,I'm not sure if I did or not. Some examples would have been helpful.,Neutral,"I don't understand the difference between this and previous question.
 
 again, I'm not sure if I did or not. It would have been helpful to see some text examples.","I don't know. Maybe details about human arm positions??? But there's little time to do that with a one-timer.
 
 Based on my limited knowledge of machine learning, you can feed photos like the ones of people sitting at tables eating, and the computer can learn to recognize them. That's probably more reliable than feeding in text about the photos.",
51,Yes,"There are round plates, forks and glasses with liquid in them. Peoples faces are looking downward. Thats because they are focusing on eating.",No,I would say that the reddish square might be a brick of salt. Horses only lick them they dont eat them. Licking is mostly different from eating. The horses tongue is out so he is licking.,Yes,A person is putting something up to her mouth and is biting into it. There are circular white shapes on a flat surface. There is a fork people eat with. And glasses with liquid in them to drink. Its clear but you can see a round shape inside the glass that tells you its the surface of the liquid(light shining onto it),Yes,I cannot tell if there is food on the plates computer. But when I see white circular shapes on top of a counter I recognize them as plates. Also I see this as a kitchen because of the stainless steal objects in front of the person. They are stoves and sinks. I know this because they have familiar round dials on the top front. Plates are what we put our food on most of the time. Food is what we eat. When plates are laying out it means someone is making a meal. Otherwise they would be in a cupboard.,Yes,There is a blue and white round surface with a fork on it. also the cake is recognizable because of its porous spongey surface. The icing that appears flat and smooth.,Strongly Agree,I explained the objects we use to eat and things that accompany them.,Agree,Because most images will have these described objects in them.,many probably. Like a person doesnt have to use a plate. Like when eating some fruit.,
52,Yes,There are people in the picture with food on their plates that are putting the food in their mouths.,Unsure,"While there are animals in the picture that have their mouths open as if they are eating, we are unable to see if there is an actual food source that they are eating.",Yes,There are people eating in this photo. They have plates on the table with food on them. They have the food up to their mouths and are putting the food in their mouths.,No,There is no eating in this photo. This is a kitchen but there is no one eating in the picture.,Unsure,"There is food on a plate, but because there is no person in the picture, we are unable to determine if there is eating in the image.",Neutral,I'm not sure if I was adequate in my explanation.,Disagree,I was unsure if the concept was displayed on some of the images.,I'm not sure.,
53,Yes,There is food in the picture. The food is on plates. There are people in the picture putting food in their mouth.,Yes,"There is a donkey in the picture. The donkey is alive. The donkey is using its tongue, to lick a salt block. The salt goes in its mouth.",Yes,There is food in the picture. There are people in the picture. People are alive. People eat food. They are putting food in their mouths. This is how people eat.,No,There is no food in the picture. Living things eat food.,No,There is food in the picture but there is no living thing in the picture. Food can remain uneaten.,Neutral,"A computer may not know what ""life"" is. I did not explain what eating was. The cues I gave may not be enough.",Neutral,Other animals may eat in different ways. Is drinking classified as eating?,I would explain how to determine if something alive is present. I would explain what a mouth is.,
54,Yes,There are people around a table with food in front of them. They have forks in their hands.,Yes,This is how an animal would eat. It doesn't use its hands but instead just uses its mouth. You can tell the animal is eating because it is licking a salt block that is in its eating trough.,Yes,There are people sitting around a table with plates of food in front of them. One person has food in there hands close to there mouth. This is the actual act of eating. In this photo it is not implied but the actual act of eating is depicted.,No,You don't see any food in the photo or people either sitting at a table or preparing to eat.,No,This is a piece of food but it is not actively being eaten. The cake is simply sitting on a cake and has been prepared for someone to eat it in the future but we don't see a person or animal near the cake so it is not being eaten.,Agree,I feel I described where and how people and animals eat. What is needed to eat and what it looks like.,Agree,Yes I described what the act of eating would look like and what items are needed for the action to take place,I also taught the computer that all the components need to be in the photo to depict eating.,
55,Yes,"Food is present on plates, it's being consumed by humans using utensils, thus there certainly is eating present.",No,"No food is going into the animal, it's licking a solid block of salt which is not considered food. The absence of food conclusively confirms no eating is going on.",Yes,People are at a table with food present on plates. Food is in one persons mouth and other people are holding food in their hands. eating is going on due to these observations.,No,"Eating is an action here that has to be in motion and at a table. There is a kitchen present but no eating is done as nothing is going on. No food is going into a human, thus there is no eating.",No,"Food is present on a plate however the piece presented is untouched and there's no human present consuming the food, thus it's not considered eating.",Strongly Agree,I helped it define food and how it's consumed which is what eating is.,Strongly Agree,The computer can identify the different parts of food and then when it's considered eating and in what setting.,How utensils are used to consume food to eat.,
56,Yes,There are a group of people in a restaurant sitting down eating at a table that includes food.,Yes,The horse has his tongue out like he is trying to lick something.,Yes,I seen people sitting at the restaurant eating food off their plate and putting the food in their mouth.,No,There is a concept of cooking but no eating in the picture look like they getting ready to prepare food to eat.,No,Somebody is about to eat there is food and a fork for somebody to start eating.,Strongly Agree,I explained to them how the people involved were eating and not eating.,Strongly Agree,They know how to tell when someone putting food in their mouth.,Explain more of how they eat,
57,Yes,This pictures shows several people sitting at a table enjoying a meal. They are eating a meal. The forks in their hands show the action of intent to eat. The food on the plates indicate that eating is in process.,No,This pictures shows a foal licking a saltblock for the minerals. The trough is used for animal to eat from but at this time it is not being used for eating as there is no food.,Yes,Eating is shown in this picture as they are people putting food in their mouth or grabbing food off the plate. The fork and spoon on the plate shows that the food is there for their enjoyment. The person with the food at their mouth is a sign of eating. The spillage of the plate on the side of the plate shows signs of food been taken.,Yes,The concept of eating is no implied in this picture are there are plates that are being prepared for the serving of food. The food that is served will be eaten. But the picture does not depict any person enjoying the food. This place is a commercial kitchen.,No,The concept of eat is indicated by the fact that the cake is on a serving plate with a fork. This indicates that eating will soon happen but does not show that it is being eaten.,Strongly Agree,I described eating as when food is going into the mouth or food moving towards a mouth. I described places or things are are to be used for eating and described eating only when the action was actually happening.,Strongly Agree,Yes I described the concept of eating and the difference of the intention. I described descriptions of places that serve food or set out food. Eating is the action of putting food into mouth or moving move towards the mouth.,That licking is not eating.,
58,Yes,This image demonstrates the concept of eating as people have food and are placing the food into their mouths to chew - thus eating.,No,This image demonstrates the concept of licking. This is a block of salt which is not eaten. It is there to be licked which is different than placing in the mouth and chewing.,Yes,This image clearly demonstrates the concept of eating. People are actively placing food in their mouths and therefore eating.,Unsure,"Eating involves food and this image has food in it. However, there is no one actively eating in this photo. It could be argued that food has been prepared for eating.",Yes,This is an image of food and it evokes the concept of eating. One eats food such as this and there is a utensil available to assist in eating.,Agree,I have taught the computer that food needs to be present and that someone or something needs to be actively placing food in their mouths to be considered eating.,Neutral,"There are times that when a person is eating, that they may be between bites and not show them actively placing food in their mouths. They would still be eating, but not by my strict definition.",People chew their food and may not fit the strict definition I have set for the computer of placing food in the mouth.,
59,Yes,I saw food in their plates.,Yes,A horse looks like he's licking a brick.,Yes,Two women are eating rather good if you ask me.,No,just food preparation,No,Food on a plate does not give me the idea that eating is taking place.,Strongly Agree,I think I made good explanation.,Neutral,I think I made good explanation.,taste,
60,Yes,"People are sitting at the table with plates of food. Some people have utensils in their hand, picking up food from the plates.",No,"It shows a horse licking something, but the horse is not eating. There is no food.",Yes,People are sitting in front of plates of food. People are either holding food in hand or putting the food in the mouth.,No,No one is eating in this photo. The person in the kitchen is most likely preparing the food but not eating the food. Eating doesn't normally happen in the kitchen. It mostly happens in the dining room.,No,"The photo only shows a slice of cake that is untouched, and a fork on the plate. It does not show eating the cake.",Agree,I've taught what to look for.,Agree,I've taught what to look for.,None,
61,Yes,Yes because people are sitting together with eating utensils and food on plates in front of them.The place mats are there also.,Yes,The animals tongue is out and on a object. That would tell you that the taste buds are involved and is consuming something.,Yes,You can see people located at a table using utensils to pick things up and place them in their mouths. The plats are a good indicator that food is involved. If you detect food it is likely that people are eating.,No,No because although there is food present it is being prepared but not yet eaten. The persons white clothes indicate that the person is a chef and not a diner.,Yes,Because the food has been prepared and placed on a plate with a eating utensil. The area the plate is sat on is not for food prepping but for eating based on the small area.,Agree,"Because I identified eating areas,utensils,plates and other indicators of what eating is.",Agree,Because I have taught it what to look for when observing an area where people may be eating.,Nothing I can think of.,
62,Yes,"This is eating. You can identify eating first by the presence of food. If there is no food you know for certain eating is not occurring. Also eating is often done on dishes using utensils. If you see plates, bowls, saucers, forks, knifes or spoons there is most likely eating involved.",No,"Animals can also eat. I am unsure if the object in this photo is food. It is possible for things other than food to be eaten, but this is a lick. This object is not necessarily being consumed which is necessary for something to be eaten.",Yes,This is eating. This picture clearly shows food. Also silverware and dishes. Even further a table is shown in this picture which is a place where people often eat. You are able to see a person putting food into their mouth. They are consuming food. This is the definition of eating.,No,"This photo is not eating. Even our first requirement is not met as no food is shown in the photo. Also we cannot see what the person in the photo is doing so we cannot clearly identify this as eating. People may be seen with food and only be preparing this food, not consuming it.",No,"This is not eating. Our first requirement is satisfied because there is certainly food in the photo. Our second clue is also here, there is a plate as well as a fork. However one essential thing missing, someone to eat. Eating is the act of consuming food, a person or animal must be present for eating to occur.",Strongly Agree,"I feel the computer will be able to identify eating as I have provided a clear step by step guideline for identifying this action. I feel I have given adequate information on how to identify things that may seem like eating, but are not.",Agree,I feel that I have given further information and clarification on what eating actually does so the computer should be able to recognize the concept of eating as consumption.,N/A,
63,Yes,"There are people shown consuming the food that was prepared, so this is indeed, eating. There are people chewing food, and some getting ready to chew or taking their next bite.",Yes,"Although it is an animal, the presence of the animals tongue on the object would certainly suggest eating.",Yes,"There is food, and also people in the image consuming the food. So this would be labeled as eating. You can see the one person on the right has food in her mouth.",No,"There is no actual eating involved, but there is someone preparing food. For there to be eating, there has to be someone eating in the photo, consuming food, not just preparing it.",No,"Again, while there is food in the picture, there is no one actually consuming the food, so it's not considered eating.",Strongly Agree,"I explained the concept using examples I found in the images, weather animal or human, of either eating or not eating the food.",Agree,"I feel I gave the explanations needed to mostly determine if the animal or human was eating, and if there was any animal or human in the image at all.",I think I covered everything that needed to be covered.,
64,Yes,"People have food on plates, are sitting at a table and are holding utensils in their hands",Yes,the horse is eating something in the trough. He has his tongue out licking the food.,Yes,The woman on the right is holding food in her hands and has the food to her mouth.,No,There is no one eating food off the plates. It is just Plates on a counter. There are no people in front of the plates.,No,It is food on the plate but there is not a person using the fork to put the cake into their mouth,Agree,I felt I described the different concepts of what the image was,Agree,I felt I gave enough information to recognize this action in the future,no,
65,Yes,"This picture is a great at showing the concept of eating. Multiple humans are placing food that was served on plates, into their mouths. People often gather together to enjoy eating a meal and in the image shown above, they are at a restaurant of sometime. In addition to eating, people often also consume liquid drinks.",Yes,"The animal in the picture is shown consuming the food. This is a great example of eating as the animal is placing the food in its mouth for consumption. If the food were just sitting there without the horse shown, then it would not show the concept of eating. In order to eat something, the item in question is usually placed in the mouth of the animal or person that plans to consume it.",Yes,The two people in the picture are consuming the food that is shown on the plates on their table. This is another great example of eating as the food is being bitten and placed into their mouths for chewing and swallowing. You will also notice other people in the restaurant eating as well. Eating food is often a social event so people often do it together.,Unsure,"The picture above shows a cook in a kitchen preparing food, but it does not show anyone consuming the food itself. In this case I would say that the image does not show the concept of eating as the food is just sitting there and not being touched.",Yes,"You can see that the image has eating within it. A eating utensil and plate is found in the image which indicates that someone intends to consume the food. The food was cut into a portion so that it could be eaten which is also an indication that someone plans to eat this. If it was not being eaten, the cake would probably not be on a plate with a fork and would probably be whole.",Agree,I explained what eating is where and how people do it. I also explained the intention to eat something such as when a plate has a utensil on it.,Agree,I explained where it is appropriate to eat and why an image would be considered eating vs just showing food items. I explained that the concept of eating includes placing food in your mouth. I also explained the concept of people often eating together.,I did not explain the difference between drinking and eating so that may be confusing as it is a similar process and could somewhat confuse the machine. I also did not explain biting so if an image were to show someone being bitten it may be confused for eating.,
66,Yes,I checked for a person in the photo. Then I checked for food. Then I checked to see if the people in the photo were putting the food in their mouth or using a utensil to pick up the food.,Unsure,"There is a live animal in the picture. There is also a salt block. The animal (a horse) is licking the block. But its not actually eating the block, since they do not eat salt blocks, just lick them.",Yes,I looked to see if there was people in the picture and if there was any food in the picture. Then I checked to see if they were putting the food in their mouth or picking it up with their hands to eat.,No,I looked to see if there was a person or animal in the picture. Then I looked to see if there was food. Then I looked to see if the person or animal was putting the food in their mouth.,No,"I first checked for a person or animal in the picture (There was none) so even though there is a picture of food and a utensil to eat it with, there is no one to eat the food in this picture, so it is not eating.",Agree,"I think I gave the proper steps for the computer to find out if there is food and a person present, but I am not sure if it can understand that they need to be picking it up or putting it in their mouth.",Agree,"I think by identifying if there is both people/animals in the picture and food, it should be able to guess if they are eating or not.","They need to be picking up the food, or using a utensil, and some things like a horse licking a salt block is not eating.",
67,Yes,"The humans above are seen lifting forks in order to eat, so as a human I determine the concept is about to occur.",No,"The mule shown cannot eat the brick being shown. It is only licking it. If an object that can't be digested is being licked, then it is not being eaten.",Yes,"As a human, I determined eating is in the image because a woman on the right is shown putting food in her mouth, which is the action done called ""eating"".",No,Nothing is going into anyone's mouth. The concept being shown is only prepping.,No,"In order for the concept to occur, a human or animal must be in the photo looking prepared to put the food in their mouths.",Agree,"I tried to go through the human process of thinking as well as possible, but worry it might not be good enough.",Agree,I went through my thought process as well as possible to help the computer understand the concepts being shown.,Eating vs licking,
68,Yes,I see group of men sitting at a table and eating,No,A horse is licking but there is no food present,Yes,people are putting food into their mouths,No,no one is placing food into their mouths,No,no one is present,Agree,I was concise,Agree,I was accurate,None,
69,Yes,"Every person in this picture has food in front of them, they have their utensils out and eating the food.",Yes,"The animal has its mouth down and tongue out on an object, which would signal the animal eating something.",Yes,"the women are sitting in front of plates of food, and have said food in their hands and up to their mouth, which signals eating.",No,"This is a restaurant but no one is eating, not food is visible, to be eating you must have food at your mouth",No,"The picture shows food, that may be in the future will be eaten, but no one is eating the food in the picture, no person is visible in this picture to eat said food.",Neutral,"I tried to explain the concept of eating, I would like to say I did a good job, but I am not really sure.",Agree,future items the computer would be able to catch some things.,I tried to cover everything.,
70,Yes,People are putting food into their mouths and chewing. Placing food into the mouth does not have to be a continual exercise and people take time in between bites to chew the food they are eating.,No,"In this image the horse is licking. Licking alone is not considered eating. It is not putting food into the mouth, chewing and swallowing.",Yes,"People are putting food into their mouths and thus eating. Chewing and swallowing food is part of eating, as well as biting.",No,"There is food present, but no one is actually putting food into their mouths. Food alone does not constitute eating.",Unsure,"There is food present along with silverware. This alone does not show someone eating. In order to be eating, one must be putting foot into their mouths.",Agree,I have clearly defined what constituted eating vs. just the presence of food alone.,Agree,"I have taught the computer that in order to be eating, one must place food into their mouths and chew.",There are times when eating that people are not actively placing food into their mouths and can talk in between.,
71,Yes,,Yes,"The horse has his tongue out and is above a trough that usually contains food or drink. A mouth (in this case a tongue) that is ""working"" is a good hint--but only a hint--to understand that a person or animal is ""eating.""",Yes,There are two or three people sitting at a food table. We know it is a food table because food is sitting on plates on the table. Two of the people we see are using their hands to manipulate the food. The woman on the right of the photograph has food raised to her mouth and it eating the food. The woman on the left of the photograph is picking some food up off her plate in preparation for eating that food.,No,"There is no human that can be seen in this photograph who can actually be seen eating food. There is one person in this photograph, but she is facing away from the camera so we do not really know what she is doing, although she is probably preparing food because she is in a kitchen.",No,"Robot, what we have here is a plate with a piece of cake, a napkin, and a fork sitting on it. But no one is actually eating the cake yet.",Agree,"Because I sought to provide enough detail about the eating process for a Robot to be able to understand that process. I explained the use of hands and kitchen utensils in the eating process. I explained that food must be brought to the mouth for the action to be considered eating, and I sought to explain to the Robot when eating--in some circumstances--is *not* taking place.",Agree,"For the same reasons given in the text box above, to whit: Because I sought to provide enough detail about the eating process for a Robot to be able to understand that process. I explained the use of hands and kitchen utensils in the eating process. I explained that food must be brought to the mouth for the action to be considered eating, and I sought to explain to the Robot when eating--in some circumstances--is *not* taking place.","Teaching a Robot something like this is a bit like writing a survey (which I have done on a few occasions): you write a survey and then test it, and very often you do not get the ""type"" of answers from that test as you expected to get. That feedback allows the re-composition of the survey so that it returns results which are usable. 
 
 I suspect that teaching a Robot is much the same. So, given the instructions I provided the robot, I can't tell what the robot doesn't understand until I have some feedback from the robot, feedback which I have not had. So I can't answer this question with any degree of accuracy.",
72,Yes,,Unsure,The donkey in this photo is at a trough that would be used to for feeding donkeys. The object in this photo is not food for donkeys. It is something they can lick but not consume.,Yes,This photo has humans at a table with food on plates. Humans are using forks and plates to eat the food.,No,This photo does not have food. There is a kitchen that is used to prepare food. But it does not have food shown nor is there a way to eat it.,Yes,This photo has a piece of cake and a fork. The fork is used to eat the cake. The cake is food for humans. Humans eat cake.,Agree,"I used four key objects that are needed for eating: Fork, table, plate and food. All four are needed to complete the concept of eating.",Agree,"The computer should be aware of the four key objects needed for the concept of eating. In future images, these objects all have to be present to identify the concept of eating.","The computer needs to understand what the objects are in the image, what is food and what action by human or animal required to identify eating concept.",
73,Yes,,Yes,There is a horse licking a block of food. It may take awhile to consume the block but the horse is definitely eating the block.,Yes,There is a woman eating off of a plate in the image. She has the food to her mouth and is chewing the food.,Unsure,There are plates in a kitchen but there doesn't seem to be any food nearby that's ready to eat.,Yes,There is a piece of cake and a fork indicating that someone is about to eat this cake.,Strongly Agree,I felt I gave enough examples of how people eat.,Strongly Agree,I felt that people with food is a good indicator that they are eating.,To watch for food on plates and if people are eating the food from the plate.,
74,Yes,,No,No food in the picture. the hourse is just licking at something it might think is food,Yes,People are putting foood into their mouth. They are actively removing food off their plates.,No,There is food preperatioon but no one actively engaged in putting food in their mouth. There are no customers at the counter,No,There is food but no one is touching it. The food is just sitting there on the plate.,Agree,I explained what eating was and how it works,Agree,I explained why just a pic of food didnt represent eating,nothing,
75,Yes,,Unsure,"The horse appears to be drinking. Although the action is similar, eating involves food. If water is being consumed from the mouth it is drinking, and not eating. Eating tends to involve chewing. There is no chewing performed when drinking.",Yes,People are at a table with food on plates. Silverware (eating utensils) are present. One person is clearly eating with their hands by bringing solid good to their mouth and biting it to begin chewing.,No,"This is a kitchen where food is made, but there is no food being eaten. There is no food clearly visible, no people sitting, and no chairs.",No,"This is food that would be eaten, but there is no one present to eat it. Food is required for eating, but food is eaten by an organic lifeform.",Neutral,I feel like my descriptions were too vague even when describing everything I felt I could. It would be easier to describe with a motion component.,Strongly Disagree,"The way people eat, the foods they eat, and where they eat are very diverse. This was a very limited set of examples.",Various ways food is eaten. Different types of foods. Bowls. Ways people sit in different cultures. Different types of utensils. Ways people hold food with hands.,
,,,,,,,,,,,,,,,,
