Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
43,Yes,Yes the sign is in the set,Yes,Yes the image is crossroad .,Yes,Yes the the image is crossroad because the sign is in the set.,Yes,Yes this image have so many sign.,No,No the image is not crossroad because there is no sign is in the set.,Disagree,The future images is not similar,Disagree,The future images is not similar .,No additional information.,,
44,Yes,The picture shows two streets that intersect with each other.,No,This is a train rail or a rail road. The rails in the picture do not cross.,Yes,The picture has two streets that cross each other in it. I guess that's a crossroad.,No,"The picture is of a pole with two street signs showing that Broadway and Spring St meet. However, the streets don't completely cross each other, so I think that's just an intersection rather than a crossroad.",Yes,"The picture is of an intersection, which is where one street crosses another. I think that's technically a crossroad.",Neutral,"I'm not 100% sure that I completely understand the concept of a ""crossroad,"" so I'm not sure how well I taught it to the computer.",Disagree,I bet I'm wrong about the definition of crossroads and if I am then the computer couldn't understand it.,"I do not know because I'm not too clear of the exact definition of ""crossroads.""",,
45,Yes,I can clearly see asphalt streets crossing one another.,No,"Well, there is no road on the picture. There are rails and yes, they are crossing, but it's not a crossroad.",Yes,Clearly visible two asphalt streets crossing each other. Stop signs on all sides of the crossing.,Yes,"There is a clear sign showing two arrows with ""one way"" information on both - meaning there are two streets crossing each other.",Yes,"I can clearly see two streets crossing each other, as well as the traffic lights above the crossing.",Agree,"Pictures were simple to understand and see the crossings, or describe it as NOT a crossing.",Disagree,This was a tricky one. Not sure if that can be easily explained to a machine.,"It's worth mentioning the metaphorical sens of being on ""crossroads"" with choices and decisions. Not sure how to explain that to a computer.",,
46,Yes,There is a stop sign to stop the traffic so the traffic in the opposite direction can move,No,this is not a road or crossroads. There are tracks with trains running on the tracks above the road.,Yes,the two streets are going in opposite directions. the two roads meet.,Yes,the signs have different names and the (one way) signs and street lights are pointed in different directions.,Yes,There is a main road intersecting with another road. I can tell because the roads join together in the middle and the traffic lights are pointing in opposite directions with the traffic lights different colors for different roads.,Neutral,I explained as best I could.,Agree,I tried my best to explain a crossroad.,none,,
47,Yes,"There is just a perpendicular road here, not a cross road. You can move form one road to another, but you have to make it down the first rather than choosing to start one.",No,"Two roads cross over one another, but it is not a crossroad per se. There is no option to take a separate road if you are already on one.",Yes,"You can choose to go left, right or forward based on your direction. This would be considered a crossroad because one path splits into two.",Yes,"This is a road that splits into two streets, it is a cross road.",Yes,"There are two roads you can choose from coming from a third section, which is the sidewalk.",Agree,I think I have covered every aspect of a cross road.,Agree,"There aren't too many rules to follow, I think it can differentiate with my information.",I can't think of anything.,,
48,Yes,Roads cross,No,It's a railroad track,Yes,Roads cross,Yes,Roads cross,Yes,Roads cross,Agree,Easy to define,Agree,Roads cross or they don't,Definition of crossroads,,
49,Yes,"This is a crossroad because pictured here, is the crossing or intersecting of two streets.",No,This does not represent a cross road. This is a spot where trains come together.,Yes,This is a crossroad. Two streets intersect or cross making it a crossroad.,Yes,"This is a crossroad. Even though the intersecting streets cannot be seen, the two street signs ""Broadway"" and ""Spring St"" also represent the intersecting or crossing of two streets.",Yes,This is a crossroad. A crossroad is a point where two streets intersect.,Strongly Agree,A crossroad is something that is tangible and observable.,Strongly Agree,If the computer should easily be able to determine whether or not two streets cross.,Nothing,,
50,Yes,I saw a street that led into another street at a perpendicular angle. One street opens into another street.,No,"I don't see one street running into another street at a perpendicular angle. Instead, I see railroad tracks.",Yes,One street crosses another street. This is a crossroad.,Yes,I saw a lamppost and saw two street signs at 90-degree angles.,Yes,"One street crosses another street. Also, there is a traffic light.",Agree,There was little ambiguity in the photos. So I was able to describe them better.,Agree,There was little ambiguity in the photos. So I was able to describe them better than eating photos.,Maybe technical details used by traffic engineers?,,
51,Yes,"I can tell there are two roads crossing one another creating a crossroad. the two roads on the left and right of the image disappear but they assuredly continue on. The viewpoint we are in tells me we are coming from a road, also the stop sign facing us. and we can clearly see the road in front for some distance.",No,These are not roads they are railroad tracks. I know this because I can see the rectangle shapes of trains that are on road-like tracks made of many planks of wood with steel silver rails on top,Yes,the straight lines that become rounded then turn in a 45 degree angle are sidewalk corners. They are built along side many roads. The dark surface is the road and we can see 3 roads very carefully. The fourth part of the crossroad which comes from the left bottom corner to the right side of the image disappears but cars park along side many roads and we can see they go downwards because of the hill. The street also go down and onward.,Yes,Without seeing the roads I know that these rectangles with lettering on them are street signs. They represent the roads. The lettering is the name of the roads and the ones with arrows tell the direction of traffic. Also the building in the image almost always are built along side roads.,Yes,the direction the red and green lights are facing tells me roads go on even out of the image. also the round whitish lights are on cars. Cars travel on roads and they are coming from one way and heading straight o the road lower left corner going offscreen.,Agree,I described the surroundings or roads and road colors.,Neutral,Roads are difficult. They are large and flat and may not be crossroads.,That somtimes there are roads that are parrelel and 3 and 5 way intersections.,,
52,Yes,"This is an intersection. At an intersection, two streets cross each other which would make it a crossroad.",No,This is a picture of some train tracks. That means that there is no crossroad in this image.,Yes,There are two roads at this intersection meaning that there is a crossroad in this image.,Yes,There are street signs showing where two streets intersect. This shows that the roads cross each other.,Yes,"Although it's dark, you can see the street signs at the top showing that it is two different streets crossing each other. That means that it is a crossroad.",Agree,I explained about streets/roads crossing each other at an intersection.,Neutral,I can not say if the computer will be able to recognize it from any image.,I'm not sure.,,
53,Yes,There is a stop sign in the picture. The road branches into multiple directions. There is a crosswalk. The crosswalk is indicated by the white lines connecting the sidewalks.,Unsure,The road is not very visible in the picture. I cannot see all the directions the road may go in.,Yes,There is a stop sign in the picture. The road branches in four directions. There are sidewalks along the four directions of the road.,Unsure,"There are street signs in the picture and lights. However, you cannot see the road.",Yes,The road branches into four directions. There are traffic lights in all four directions. There are white lines across the roads connecting the sidewalks.,Neutral,I gave the computer as many objects to look for that signify there is a crosswalk. I could have been more specific about there placement.,Neutral,The computer may have enough variables to look for in order to make a good guess.,"I need to teach the computer about sidewalks, lines on the road, and street signs and lights.",,
54,Yes,You can see the roads going in different directions. The stop would control traffic for oncoming traffic.,No,This is not a crossroad. It is many railroad tracks but they are going over and under each other. The tracks never form an intersection therefore there is no crossroad.,Yes,"There is a 4 way intersection with stop signs on each corner. The crossroads have 4 directions in which traffic can travel. East, West, North and South.",No,There is not an actual view of the crossroad. The photo is of the street signs and traffic lights but the photo is taken at an angle were you see the buildings on the street but not the crossroad.,Yes,You can tell it is a crossroad because of the traffic lights. You would only need the traffic lights at a crossroad and also the street signs represent another road running perpendicular to the main street.,Disagree,I had a hard time putting a crossroad into terms.,Agree,I talked about what is need to form a crossroad.,I talked about the fact you might have the components for a crossroad but if the camera angle is wrong you would be able to see the intersection.,,
55,Yes,"Three roads join together with a stop sign present, indicating it's a crossroads where these roads meet. they connect directly onto each other.",No,"A crossroad would be where two roads meet each other. We see railroads and not roads for cars, thus it's not a crossroad.",Yes,"Four roads meet, there is a stop sign visible and it's clear that the roads cross over into each other. This is a good example of a crossroad.",No,"There is an indication of a crossroads, a set of names of streets but the actual cross road isn't visible on the screen. We would need visual confirmation of the crossroad to accept it here.",Yes,"There's four roads meeting, they are separated using traffic lights, confirming that this is a crossroads due to the way it's setup and the fact lights are present to direct traffic safely.",Strongly Agree,I went into detail and let it know how to recognize what a crossroads is.,Strongly Agree,"I discussed the visual clues for a crossroad (stop sign, lights, roads meeting), it should be able to recognize those.",The fact vehicles usually stop at a crossroads.,,
56,Yes,There is a crossroad where you cross when you pass the stop sign and on the other side of the road.,No,There is just railroad tracks with trains but no crossroad.,Yes,You can see the crossroad where you go four ways on this picture that have sidewalks included.,No,This is just a picture of road signs and homes no crossroads are anywhere in the picture.,Yes,There are roads that meet up at a four way crossing.,Strongly Agree,I wrote how crossroads appear on the picture.,Strongly Agree,I told how it included side roads and stop signs that you stop before crossing the road.,Could of describe more longer.,,
57,Yes,This is a crossroad for vehicles that can travel two ways. There is Stop sign that controls traffic. There are lines that are designed for pedestrains. The indication for the traffic as two ways as shown by the parking of the vechicles on both sides of the street.,Yes,"The train tracks to intersect and the train must be timed and directed which track to take and when. In the picture there is a big ""X"" when the trains cross over the tracks. Four rails are visible as well. The tracks are designated only for trains. A train is a vehicle and they travel on tracks. Yes there is a crossroad for the train.",Yes,This is a crossroad as there are two streets at the intersection. There is STOP written at the intersection on the four way. There are two actual STOP signs that are visible. Traffic is a two way street as there are cars parked on both sides pointing in opposite ways.,Yes,It is a one way crossroad because there are four signs that give direction. The street names are Broadway and Spring Street. The two one way signs allow the drivers to see which way they can travel. Both Broadway and Spring Street can only travel the way the one way sign is pointing for them. The top one way sign is designated for Spring Street. The second one way sign is designated for Broadway.,Yes,This is a crossroad as indicated by the signs that are hung as well as traffic lights that designate when drivers are to stop and go. There is a cross walk that is visible that allows pedestrians to cross. Each street is a two way as indicated by the cars on one side of the road.,Strongly Agree,Because I indicated the way of the streets and showed whether it was one way or two ways. I indicated the crossings and lights if there were any. I indicated signs and markers.,Agree,I did my best to described the intersections as well as indicated of where vehicles travel. I named the streets if they were readable and the signs that signal a crossings.,Crossroads are intersections that vehicles travel on that there has to be made a decision of when to go or a time to go.,,
58,Yes,"There are two roads that intersect and one crosses over the other, thus there is a crossroad in this image.",No,"There is not intersection or crossing over of two different roads in this image. There is a point of merging, but that is different than a crossroad.",Yes,This image has a crossroad in it as there are two streets that cross each other. One is going straight while the other crosses over it. It is in a shape of a cross - thus a crossroad.,Yes,There is an intersection or crossroad of two streets in this image. The signs indicate two different streets going two different directions - thus a crossroad.,Yes,A crossroad is where one street or road intersects with another. This image clearly demonstrates two streets that cross each other.,Agree,I have taught the fundamentals of what constitutes a crossroad to the computer. There are basics that need to exist for a crossroad.,Strongly Agree,I have implicitly set out the rules for a crossroad for the computer and it should be easily able to identify them using the rules.,There are some rare occasions when crossroads are not in a perfect cross pattern and are slightly offset. This may cause slight confusion for the computer.,,
59,Yes,it's right there.,Yes,it's right there.,Yes,it's right there.,Yes,Crossroads between two roads.,Yes,it's right there.,Neutral,i THOUGHT IT MADE SENSE TO ME.,Agree,i THOUGHT IT MADE SENSE TO ME.,na,,
60,Yes,Two roads meet and intersect.,No,"Train tracks are crossing, but there are no roads intersecting.",Yes,Two roads meet and intersect. There is a stop sign. Stop signs are typically found when two or more roads meet.,Yes,"There are two street signs, Spring Street and Broadway, which shows the roads are intersecting.",Yes,Two roads are intersecting. There are traffic signals in different directions.,Agree,"I taught what to look for (traffic signals, stop signs, etc) when identifying the concept crossroads.",Agree,"I taught what to look for (traffic signals, stop signs, etc) when identifying the concept crossroads.",None,,
61,Yes,This is a cross road. I can tell because the road is going if four different directions. There are traffic signals to control the traffic as to avoid a collision from the different directions of the road.,Yes,The crossroads are visible. I know this because the rails are spaced evenly and the track is very lond. I also see a locomotive on the tracks indicating further that it is a cross road.,Yes,Yes. It is clearly visible that the road goes if four different directions. It has traffic indicators to help avoid collisions. The markings on the cement are telling a driver to take a action or precaution.,Yes,It is because the street signs are indicating that there are two roads intersecting at that location. You can tell by the signs name and where they are located on the poll.,Yes,You can tell it is a crossroad by the street lights and the traffic. It can be seen that the road goes in four different directions. The lines in the street are also indicators to watch for.,Agree,"I tried to explain what to look for as far as street signs,markings on the pavement and traffic signals.",Agree,Because it is clearly for human traffic. I mentioned the basic ways to tell from certain characteristics that all crossroads share.,Nothing I can think of.,,
62,Yes,"We can tell this is a crossroad because it passes our first test, when looking at the road itself we can make the cross shape. Next we can see that the streets both intersect and overlap each other. In this case we do not have traffic lights or street signs to go on, but we are able to tell it satisfies our other criteria.",No,"This is not a crossroad. I first looked for a cross made by the road or streets, but there is no cross and no roads or streets really. I looked for intersecting or overlapping roads and found none. Note that there is no bisection of these paths.",Yes,This is clearly a crossroad. First the cross shape can be made out by looking at the streets themselves. Next we can identify the intersection of the multiple roads as well as the fact that they overlap. We can see that these roads cross eachother,Yes,I looked at the area and determined if roads or signs to indicate the presence of a crossroad. I would normally pay attention to the actual roads and see if they cross. In this case we can look at the signs and they in fact do cross. This is a good indication of a crossroad which is an intersection of two streets.,Yes,"We can see clearly that this is a crossroad. Our first sign is the roads themselves, they form a cross shape when the picture is viewed in its entirety. You can clearly see that two roads intersect and overlap each other. We can also identify a crossroad by the traffic lights which are both across from each other and adjacent to each other.",Agree,I feel this way because I gave a clear guideline of steps that can be taken to identify a crossroad. Looking for each of the elements I instructed should allow the robot to make the correct determination.,Agree,I feel the computer should understand the concept of crossroad through the ways I described identifying one. I think the computer understands a crossroad is about intersecting and overlapping. This should allow them to carry the concept forward and apply it.,It might need more examples of crossroads with different signage or no signage so as not to rely on street lights as I mentioned in my instruction.,,
63,Yes,"There is a stop sign, along with intersecting streets, which would indicate a crossroad.",No,"There are lots of train tracks, but no physical roads for cars or people to travel on, therefore no crossroad.",Yes,"Roads can be clearly seen, there is a stop sign and two intersecting streets. This is a crossroad.",No,"There are street signs that suggest a crossroad, and there probably is one, but there are no actual streets in the picture.",Yes,"There are two intersecting streets, along with stoplights. This is a crossroad.",Strongly Agree,"I explained what crossroads were, and what should be in the image to identify them.",Agree,"I feel like I explained what needed to be explained in the short amount of images I had. The one with the signs but no visible roads is the tricky one, because it's not a strictly yes or no answer.",How to determine if walkways or dirt paths are considered crossroads or not.,,
64,Yes,there are two streets crossing over each other. Traffic comes from 4 directions,No,This picture does not contain a road. These are train tracks. Only cars travel on roads.,Yes,The roads cross each other. Cars come from 4 different directions.,No,There are no roads in this picture.,Yes,Two roads cross each other. Also there are traffic lights at many crossroads.,Agree,I felt there was enough information to identify,Agree,I explained what a crossroad is and what is not a crossroad,none,,
65,Yes,"The area above is also a crossroad. More than one road intersects with each other. Also you will notice that there is a stop sign visible in the center of the crossroad. This is placed so that traffic will yield or stop to traffic that is currently passing from one side of the road to the other. If there was not crossroad, then a stop sign would probably not be needed.",No,The image above is of two rail road tracks coming together. This is very similar to a crossroad except that in the picture about they are not crossing over each other but instead are merging or coming together. A crossroad is a road that crosses another but does not merge with the road in the same direction.,Yes,"The picture above is of a crossroad. A crossroad is where any type of road meets and crosses past each other. This can also be called an intersection. A crossroad can be anywhere two roads or paths meet, but can also include more than two roads. A crossroad is only where you must pass through a another road to continue to your destination on the same road you currently are on.",Unsure,"The image above is kind of tricky in that the signs show that there is an intersection or crossroad, but the image itself does not show the road. By looking at the direction of the signs you can see that the road will cross over each other in the shape of an X.",Yes,"The image above is a crossroad. You will see that each section of the road has a stop light which is used to keep traffic from colliding while traffic on one road passes through the other road. You will also notice the shape that it makes while crossing is the shape of an X. If this was not a crossroad, then the stop lights would not need to be on a side of the roads.",Agree,I tried to explain the shape that a crossroad would make and how a crossroad functions. In the pictures that did not have a crossroad I explained what about them made them not cross. Also if the picture had it I explained why a stop sign or stop light was used and that they can often be indicators of a crossroad.,Agree,"I feel that I gave enough information about the shape, and reason for a crossroad that the computer should be able to identify them in most cases. I gave clues to look for when trying to identify one as well as an examples of why certain images were not one. I think the computer would be able to judge one pretty well now.",I didn't explain any other types of roads meeting that may not be a crossroad such as a side street or culdesac. I think in general most crossroads look similar so there shouldn't be too many cases where a road my meet but not cross.,,
66,Yes,"First I checked to see if there was a road in the image, if there was a road I checked for a second road, then I checked to see if the second road crossed the first road. I could not tell if the second road crossed the first road or if it just ended at the first road.",No,"There is a road in the image, but there is not a second road crossing the first road. There is a train track going over the road, but I don't think that would count as a cross road.",Yes,I first checked to see if there was a road and if there was a second road too. Then I checked to see if the second road crossed the first road.,Unsure,"There is a street sign in the image, and it has two different street names on the sign, so its likely at a cross road, but you cannot actually see the road, just the sign.",Yes,"First I looked to see if there was a road visible. If there was one road, then I looked to see if there was a second road, then I checked to see if the second road crossed the first road.",Agree,"The computer should be able to identify if there is a road, and probably if there are two roads, but it might not be able to tell if they cross. It might have trouble telling the difference between a dead end road or a train track crossing the road.",Agree,"It should be able to tell if there is a road present in the image, then check for a second road crossing the first one and discard any images without roads.","That sometimes train tracks cross roads and sometimes roads end at a road, but do not cross them.",,
67,Yes,"As a human, if I see a place where roads meet and intersect, I know it is a crossroad.",No,"As a human, I know that crossroads are 4 roads intersecting at one place. This is not what a crossroad looks like and also they do not have these for trains.",Yes,"As a human, if I see a place where roads meet and intersect, I know it is a crossroad.",No,"As a human, if I can not see the crossroad, I will assume that this does not meet the concept given.",Yes,"If I see two roads which intersect, then my human mind knows I am looking at a crossroad.",Neutral,"I feel I described crossroads well, but not as good as a person who drives.",Disagree,There were not a lot of images which were not meeting the crossroad concept,Crossroad signs,,
68,Yes,there is more than one way to travel,No,trains do not use a crossroad,No,This shows that there is 4 ways to travel so its a crossroad,No,we cannot see the road so we dont know if there is a crossroad,Yes,There is more than one way to turn the car,Agree,i was accurate,Agree,I was objectie,none,,
69,Yes,"I see a street going north to west judging by the stop sign. I can conclude judging by the crosswalk white painted lines that there is also a street going east to west, meeting in the middle. This includes a crossroad.",No,"Train tracks are moving parallel to eachother and not going from north to south and east to west with them all meeting in the middle, this picture would not contain a crossroad.",Yes,"You can see by the stop sign that there is a crossroad, north to south and east to west meeting in the middle. If there were no crossroad there would be no need for the stop sign.",Unsure,"I am unsure in this picture, I am unable to see the actual roadway. I can see the signs up above but that does not give me enough information to conclude it is a crossroad or not.",Yes,"I look to see if there is a road going north to south and then also east to west that meets in the middle, if that is the case then there is a crossroad.",Agree,"I would hope I explained myself well, but I can not be so sure, until I was able to see it in action, to know if it understood my teachings.",Agree,My explanations should help the computer in the future.,I think I covered everything.,,
70,Yes,There is a crossroad in this image. There are two streets that intersect and cross each other.,No,"There is not crossroad in this image. There are two tracks that merge onto each other, however one does not cross the other.",Yes,A crossroad is a place where two roads cross each other. They intersect each other and form a cross-like appearance. There is a crossroad in this image.,Unsure,There is an implication of a crossroad in this image as there are two roads (streets) that intersect. However one cannot simply assume they are a crossroad without actually seeing it.,Yes,"There is a crossroad in this image. As defined, there are two streets that intersect and cross over each other. This is evident in this image.",Strongly Agree,I have clearly stated what defines a crossroad and the computer will be able to identify it.,Strongly Agree,I have set out the guidelines of the features of a crossroad and the computer will be able to recognize them in the future.,"If a crossroad happens to jut at an angle on one side, the computer may not be able to recognize it.",,
71,Yes,There are two streets here which intersect: that is the definition of a crossroad.,No,"There are intermingled railroad tracks in this photo, but no crossroad. For there to be a crossroad, there must be roads that cross",Yes,"there is clearly a crossroad here. You see a street running from your right to your left, and crossing it--from the foreground on the left to the distance on your right--is another street. This is a crossroad.",Yes,"Because of all the signs and their placement (signs 90 degrees to each other in orientation), it seems there is a crossroad in this photo.",No,"Aside from the road lights in this photo, there is no definitive information that can tell you or I if there is a crossroad here.",Agree,I think I explained in some detail what defines a crossroad such that a robot could understand what a crossroad it.,Agree,For the reason cited in the above text box.,Noting that I can think of.,,
72,Yes,This image has two roads that intersect with each other with a road sign in the middle.,Yes,This image shows a train track intersecting with another track. A train track and road are very similar. They can both represent a crossroad.,Yes,This image show two roads intersecting with each other. It has road signs at each road in the intersection.,No,The image needs to show a road intersecting with another road for identifying a crossroad. Commonly a sign showing different road names is present in the image.,Yes,This image show tree roads that intersect with each other. It has street lights and road signs show road names and traffic signals.,Strongly Agree,I identified a crossroad needs to have at least two roads or train track that intersect with each other and that there are road signs and street lights present at every crossroad.,Strongly Agree,I identified a crossroad needs to have at least two roads or train track that intersect with each other and that there are road signs and street lights present at every crossroad. This information can be used for future images.,Crossroads can also have markings on the road itself at the intersection.,,
73,Yes,There are four roads crossing over each other. The roads are all connected and there are crossing symbols and stop signs to indicate there are multiple roads in the picture.,No,"There are no roads in this photo, only train tracks. There are a couple of train tracks crossing over each other, but it is not a crossroad.",Yes,There are four roads intersecting each other. They are both paved roads and are slightly wet.,Unsure,"There are street signs indicating that there is a crossroad there, but there is no image of a crossroad.",Yes,There are four roads intersecting each other to make a crossroad. There are also street lights pointing in the direction of the roads to indicate there is a crossroad.,Strongly Agree,I explained how there are street signs that can indicate a crossroad.,Strongly Agree,I explained how roads crossing over each other can make a crossroad.,Too look at stop signs that say 4-way crossing.,,
74,Yes,A road comes perpendicular to another road. You have to cross one to turn on to the other. YOu have to cross it to get to the other side,No,There are no roads here. Its all train tracks. Nothing is crossing. its all straight on rails,Yes,Two roads converge and cross one another You have to cross the other road to get to the other side.,No,There are streetsigns but they dont actualy show the roads they represent. There are no roads in the pic at all,Yes,There are streets that cross one another. The roads intersect and thus cross,Agree,I explained how roads cross and what makes them cross,Agree,I explained why other things like trains arent cross roads,none,,
75,Yes,There are two roads intersecting. There is a stop sign parallel to another road. A crosswalk that begins on one road is intersecting another road.,No,"There is no focal road in the picture. These are train tracks. There is a train on one of the tracks. These tracks fork, but don't intersect across each other.",Yes,There are two roads intersecting perpendicularly. There are two sets of stop signs that are parallel to the roads across from them. There is a big open space where the roads intersect.,Yes,"There are two street name signs that are perpendicular to each other. There are two ""one way"" signs that are perpendicular to each other. There are two crosswalk signals that are perpendicular to each other. They are all on one pole.",Yes,"There are two roads intersecting perpendicularly. There are two sets of traffic lights, and they are set to different colors. When one is red, the other is green, and vice-versa.",Agree,"I included signs to look for including street names, one way signs, traffic lights, cross walks, and angles.",Disagree,There weren't enough examples that weren't crossroads.,Crossroads that intersect at acute angles.,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
